spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395012,TRANSFORMER,1,0.27727524153184024,0.39368428941037364,1.1473566379815594,56.92963762703723,0.015266488529486524,0.1377692716446461,1.4550470472100036e-05,0.00013130771461664835,16,4,16,1,64
395012,TRANSFORMER,2,0.09401655994831626,0.4685755280947617,1.2870939398342354,63.64941508744656,0.015266488529486524,0.1377692716446461,1.4550470472100036e-05,0.00013130771461664835,16,4,16,1,64
395012,TRANSFORMER,3,0.023450597293399045,0.4948769441552647,1.3372769502348594,66.13511090636163,0.015266488529486524,0.1377692716446461,1.4550470472100036e-05,0.00013130771461664835,16,4,16,1,64
395012,TRANSFORMER,4,0.01100829758436983,0.5129317259594698,1.3457604356216553,71.74235111748891,0.015266488529486524,0.1377692716446461,1.4550470472100036e-05,0.00013130771461664835,16,4,16,1,64
395038,TRANSFORMER,1,0.8083768650044352,0.7878732589235575,1.5638614186731112,27.61484515583151,0.015262418945199288,0.1377325465220309,1.638324525571378e-05,0.0001478472119961176,16,4,16,2,32
395038,TRANSFORMER,2,0.7389722731998007,0.9560481841068872,1.8259672282500188,36.069699696696375,0.015262418945199288,0.1377325465220309,1.638324525571378e-05,0.0001478472119961176,16,4,16,2,32
395038,TRANSFORMER,3,0.7216770054785366,1.0070213715962093,1.8806374758065942,33.910166988823185,0.015262418945199288,0.1377325465220309,1.638324525571378e-05,0.0001478472119961176,16,4,16,2,32
395038,TRANSFORMER,4,0.7000593503293345,1.0569677865807525,1.9503960063740862,35.540200059829004,0.015262418945199288,0.1377325465220309,1.638324525571378e-05,0.0001478472119961176,16,4,16,2,32
395053,TRANSFORMER,1,0.7601200363504534,0.13812634218388115,0.2632101264521956,51.48499385343181,0.007593762028211484,0.0685283365358579,1.4869378724048808e-05,0.0001341856362492222,8,4,32,1,64
395053,TRANSFORMER,2,0.5955116674634451,0.1840508830925209,0.3418347736469284,60.328516233993646,0.007593762028211484,0.0685283365358579,1.4869378724048808e-05,0.0001341856362492222,8,4,32,1,64
395053,TRANSFORMER,3,0.5022361811049979,0.20693626800973305,0.3792841242611661,67.44169955294336,0.007593762028211484,0.0685283365358579,1.4869378724048808e-05,0.0001341856362492222,8,4,32,1,64
395053,TRANSFORMER,4,0.4821333341580537,0.21714690058456407,0.3869407174714605,75.26417832634453,0.007593762028211484,0.0685283365358579,1.4869378724048808e-05,0.0001341856362492222,8,4,32,1,64
395079,TRANSFORMER,1,0.0538188700966471,0.3442539203887073,0.8800494020958607,106.93080128159309,0.015972820434923422,0.14414341799555483,2.0360686692311908e-05,0.0001837408104926534,8,2,16,2,64
395079,TRANSFORMER,2,-0.008541943183279388,0.367221747536902,0.9084246967521917,116.71257196582279,0.015972820434923422,0.14414341799555483,2.0360686692311908e-05,0.0001837408104926534,8,2,16,2,64
395079,TRANSFORMER,3,-0.05763597471503412,0.38610610621759833,0.9268543449136153,126.33758836120128,0.015972820434923422,0.14414341799555483,2.0360686692311908e-05,0.0001837408104926534,8,2,16,2,64
395079,TRANSFORMER,4,-0.038140104437126565,0.3805257406655687,0.9159605983087054,121.80258666075333,0.015972820434923422,0.14414341799555483,2.0360686692311908e-05,0.0001837408104926534,8,2,16,2,64
395103,TRANSFORMER,1,0.6359400405363449,0.6562205334375678,1.4031226036138456,25.59466418654729,0.01179817711119714,0.10647021181096938,1.7223274000216163e-05,0.00015542787784911529,8,4,32,1,64
395103,TRANSFORMER,2,0.5257169538127022,0.8031993733454872,1.601783131512087,32.70783594282428,0.01179817711119714,0.10647021181096938,1.7223274000216163e-05,0.00015542787784911529,8,4,32,1,64
395103,TRANSFORMER,3,0.4825716486905338,0.8599931635313951,1.673435022213496,35.46881830499389,0.01179817711119714,0.10647021181096938,1.7223274000216163e-05,0.00015542787784911529,8,4,32,1,64
395103,TRANSFORMER,4,0.4797886910739231,0.8664788672786425,1.6782397673902174,35.18787801020914,0.01179817711119714,0.10647021181096938,1.7223274000216163e-05,0.00015542787784911529,8,4,32,1,64
395111,TRANSFORMER,1,0.45892964327377594,0.3939621878546759,0.9245969715631293,42.135956842816796,0.0172062804409787,0.15527452298468306,1.6378900198479955e-05,0.0001478080009248092,8,2,32,1,64
395111,TRANSFORMER,2,0.2785456219158504,0.4838022228413019,1.0677010876724826,48.15029999045408,0.0172062804409787,0.15527452298468306,1.6378900198479955e-05,0.0001478080009248092,8,2,32,1,64
395111,TRANSFORMER,3,0.21788956242528934,0.5260114401400143,1.1117241557061632,52.81031119903289,0.0172062804409787,0.15527452298468306,1.6378900198479955e-05,0.0001478080009248092,8,2,32,1,64
395111,TRANSFORMER,4,0.2037201528873328,0.5523328239524796,1.1219263760243443,57.77396071857388,0.0172062804409787,0.15527452298468306,1.6378900198479955e-05,0.0001478080009248092,8,2,32,1,64
395137,TRANSFORMER,1,0.43663389840369693,0.11800570837014623,0.26763164971186276,35.17923988611797,0.012147699251578575,0.10962440215480791,1.963572601968982e-05,0.00017719855268102572,16,2,32,2,64
395137,TRANSFORMER,2,0.2406023568765051,0.1501188412107885,0.3107594643837556,45.07544530184219,0.012147699251578575,0.10962440215480791,1.963572601968982e-05,0.00017719855268102572,16,2,32,2,64
395137,TRANSFORMER,3,0.17519948212385228,0.16617521286933068,0.3239322927063699,50.85807850771992,0.012147699251578575,0.10962440215480791,1.963572601968982e-05,0.00017719855268102572,16,2,32,2,64
395137,TRANSFORMER,4,0.15777067476996387,0.17608488012586052,0.3275665040143749,54.712997028371156,0.012147699251578575,0.10962440215480791,1.963572601968982e-05,0.00017719855268102572,16,2,32,2,64
395145,TRANSFORMER,1,0.1907805968433628,0.3604232606826191,0.9658687643931351,46.07614858235705,0.011490281877761516,0.10369167488865391,1.243051802922638e-05,0.00011217664178271651,16,4,32,1,64
395145,TRANSFORMER,2,0.04831294182059842,0.411008000067049,1.0474586637911418,53.43004852630974,0.011490281877761516,0.10369167488865391,1.243051802922638e-05,0.00011217664178271651,16,4,32,1,64
395145,TRANSFORMER,3,0.004765139280133224,0.4325937988415546,1.0712802690467886,58.054291578665676,0.011490281877761516,0.10369167488865391,1.243051802922638e-05,0.00011217664178271651,16,4,32,1,64
395145,TRANSFORMER,4,-0.030730881987990344,0.4447065770214946,1.0903640850462357,60.68607761347461,0.011490281877761516,0.10369167488865391,1.243051802922638e-05,0.00011217664178271651,16,4,32,1,64
395210,TRANSFORMER,1,0.36526879717273353,0.4355714478408916,1.1733681141694485,33.336455137449114,0.01629037318168772,0.14700910715164173,1.6842327012532757e-05,0.00015199010046324188,16,2,16,1,64
395210,TRANSFORMER,2,0.29419075309602627,0.4974765547045981,1.2374877195021665,39.70234428645203,0.01629037318168772,0.14700910715164173,1.6842327012532757e-05,0.00015199010046324188,16,2,16,1,64
395210,TRANSFORMER,3,0.26217298729443084,0.5298192882087496,1.2654032896208793,41.41617775919498,0.01629037318168772,0.14700910715164173,1.6842327012532757e-05,0.00015199010046324188,16,2,16,1,64
395210,TRANSFORMER,4,0.24401421927586475,0.5457872512913622,1.2809946767581228,43.30670216985509,0.01629037318168772,0.14700910715164173,1.6842327012532757e-05,0.00015199010046324188,16,2,16,1,64
395244,TRANSFORMER,1,0.9300615576168144,0.03678187053715947,0.07792115609532846,7.461321510919724,0.01733896444650357,0.1564719023797384,1.6701151132617405e-05,0.00015071608790218936,16,2,32,2,32
395244,TRANSFORMER,2,0.8695594046752089,0.051258269363929576,0.10640837638543267,9.850087948183882,0.01733896444650357,0.1564719023797384,1.6701151132617405e-05,0.00015071608790218936,16,2,32,2,32
395244,TRANSFORMER,3,0.8051398960528194,0.06444829478340941,0.1300474563933854,12.079132545503008,0.01733896444650357,0.1564719023797384,1.6701151132617405e-05,0.00015071608790218936,16,2,32,2,32
395244,TRANSFORMER,4,0.749082954608416,0.0764019502851112,0.14756212286723278,14.36522935864707,0.01733896444650357,0.1564719023797384,1.6701151132617405e-05,0.00015071608790218936,16,2,32,2,32
395251,TRANSFORMER,1,0.7460044559792397,0.20891678383390572,0.45632953919478314,18.85673114394316,0.01159054096506511,0.10459644230827989,1.9108893893760912e-05,0.00017244426500524234,8,2,16,2,64
395251,TRANSFORMER,2,0.5951085213268945,0.2682562712904194,0.5762169327560449,23.070391326789483,0.01159054096506511,0.10459644230827989,1.9108893893760912e-05,0.00017244426500524234,8,2,16,2,64
395251,TRANSFORMER,3,0.542768717145206,0.2946912117163793,0.6124133477118499,26.235279001122528,0.01159054096506511,0.10459644230827989,1.9108893893760912e-05,0.00017244426500524234,8,2,16,2,64
395251,TRANSFORMER,4,0.49399798122681404,0.30685126109592364,0.644293483477765,27.041178525852683,0.01159054096506511,0.10459644230827989,1.9108893893760912e-05,0.00017244426500524234,8,2,16,2,64
395285,TRANSFORMER,1,0.9060777662398456,0.009251823723478872,0.019059306017346858,11.656115728347864,0.012034601251028391,0.10860377261513546,1.6867507583422935e-05,0.0001522173373228796,16,2,32,2,64
395285,TRANSFORMER,2,0.822713523876558,0.013397428411563439,0.02619279294563038,15.802426450816453,0.012034601251028391,0.10860377261513546,1.6867507583422935e-05,0.0001522173373228796,16,2,32,2,64
395285,TRANSFORMER,3,0.7480095542802503,0.01652287202335779,0.0312365261771393,19.213108986710857,0.012034601251028391,0.10860377261513546,1.6867507583422935e-05,0.0001522173373228796,16,2,32,2,64
395285,TRANSFORMER,4,0.7012606398303309,0.018636456677665468,0.034019807503173766,21.84669975961603,0.012034601251028391,0.10860377261513546,1.6867507583422935e-05,0.0001522173373228796,16,2,32,2,64
395327,TRANSFORMER,1,0.990457075938272,0.008843321025155499,0.01159740519758532,4.399756507264011,0.018447724287819343,0.1664776764955,1.7328971531650065e-05,0.00015638172338420088,8,4,32,1,64
395327,TRANSFORMER,2,0.9828222810954216,0.011267088139063585,0.01556131637787006,5.169566992317561,0.018447724287819343,0.1664776764955,1.7328971531650065e-05,0.00015638172338420088,8,4,32,1,64
395327,TRANSFORMER,3,0.9700646321341693,0.012934510884672816,0.02054525177170809,5.572046396058864,0.018447724287819343,0.1664776764955,1.7328971531650065e-05,0.00015638172338420088,8,4,32,1,64
395327,TRANSFORMER,4,0.9527245245487596,0.0156987280220495,0.025822147124184763,6.547352579949517,0.018447724287819343,0.1664776764955,1.7328971531650065e-05,0.00015638172338420088,8,4,32,1,64
395343,TRANSFORMER,1,0.9347598690599634,0.006963934227932937,0.01372520740728694,8.027291340584004,0.016386942777870124,0.14788057952090142,1.6390565617831398e-05,0.0001479132730916453,16,4,16,1,32
395343,TRANSFORMER,2,0.8780519568384412,0.009883633096678276,0.018734304149718314,11.021441919581546,0.016386942777870124,0.14788057952090142,1.6390565617831398e-05,0.0001479132730916453,16,4,16,1,32
395343,TRANSFORMER,3,0.8381364763037689,0.01203790657414218,0.021545470432061273,13.503365843993635,0.016386942777870124,0.14788057952090142,1.6390565617831398e-05,0.0001479132730916453,16,4,16,1,32
395343,TRANSFORMER,4,0.8061389144139832,0.013548343576287475,0.023560400373437682,15.315074455194639,0.016386942777870124,0.14788057952090142,1.6390565617831398e-05,0.0001479132730916453,16,4,16,1,32
395350,TRANSFORMER,1,0.9909046585536774,0.0014100339492280332,0.0020784109241920555,1.70293570818696,0.016964633147675597,0.15309382691112516,1.6968575319186166e-05,0.00015312940222346106,8,4,32,1,64
395350,TRANSFORMER,2,0.9865450434044436,0.0017066960340756383,0.00252737185832524,2.0278705745068093,0.016964633147675597,0.15309382691112516,1.6968575319186166e-05,0.00015312940222346106,8,4,32,1,64
395350,TRANSFORMER,3,0.9821683867904603,0.0020424308934302747,0.0029090221699429545,2.4386476809035744,0.016964633147675597,0.15309382691112516,1.6968575319186166e-05,0.00015312940222346106,8,4,32,1,64
395350,TRANSFORMER,4,0.9776843481300721,0.0023180975720987346,0.0032538004904839692,2.732468915273033,0.016964633147675597,0.15309382691112516,1.6968575319186166e-05,0.00015312940222346106,8,4,32,1,64
395368,TRANSFORMER,1,0.9794216348107564,0.0025507592231211683,0.0038230113957515364,2.9127383673537794,0.01694190683185158,0.15288873796927754,2.0268701347226534e-05,0.00018291070775030264,8,4,16,2,32
395368,TRANSFORMER,2,0.9652784882656759,0.0031356714584645576,0.004966933305436449,3.518542552288609,0.01694190683185158,0.15288873796927754,2.0268701347226534e-05,0.00018291070775030264,8,4,16,2,32
395368,TRANSFORMER,3,0.9512246476861276,0.003658743780392497,0.00589074054761382,4.098050777214378,0.01694190683185158,0.15288873796927754,2.0268701347226534e-05,0.00018291070775030264,8,4,16,2,32
395368,TRANSFORMER,4,0.928833006122541,0.00433078214702759,0.007130595098956802,4.794993338469456,0.01694190683185158,0.15288873796927754,2.0268701347226534e-05,0.00018291070775030264,8,4,16,2,32
395376,TRANSFORMER,1,0.979470700193891,0.0018705962117079018,0.003082611471287127,0.7140111241549281,0.016257763906063986,0.14671483148092254,2.0203366259128155e-05,0.00018232110474613,16,2,16,2,64
395376,TRANSFORMER,2,0.974425956510523,0.002101638797574818,0.0034436765543790922,0.8066920240356342,0.016257763906063986,0.14671483148092254,2.0203366259128155e-05,0.00018232110474613,16,2,16,2,64
395376,TRANSFORMER,3,0.9694114470457112,0.002366762718877185,0.0037699838717257755,0.9075684795444369,0.016257763906063986,0.14671483148092254,2.0203366259128155e-05,0.00018232110474613,16,2,16,2,64
395376,TRANSFORMER,4,0.9636093773491653,0.002673057021485245,0.004115920828086802,1.0255863000927867,0.016257763906063986,0.14671483148092254,2.0203366259128155e-05,0.00018232110474613,16,2,16,2,64
395400,TRANSFORMER,1,0.37937006388766503,0.008478771243822689,0.028335155402185157,9.750094719696168,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395400,TRANSFORMER,2,0.2553447797080658,0.010503143350548439,0.031001589729367476,12.321537640665918,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395400,TRANSFORMER,3,0.16941243495287828,0.011701633782909606,0.0327249641996992,13.942629118933171,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395400,TRANSFORMER,4,0.1165867884642302,0.012683497027475453,0.03374179161773804,15.460593087161127,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395426,TRANSFORMER,1,0.9775957059258991,0.0004906923376684,0.0009633866850519647,1.6299375443235709,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,2,0.9271119881689837,0.0006503326036826292,0.0017402728223598245,2.104240770161023,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,3,0.858593401430224,0.0008363374526091319,0.0024281430246056676,2.6499289304283793,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,4,0.7935270584414315,0.0010133997200299694,0.002939037176205466,3.1787981734009056,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395434,TRANSFORMER,1,0.8695936831143984,0.01870127526522573,0.04285045579004752,2.8577611660536157,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,2,0.7847058811056972,0.025736774380607147,0.05506907323260294,3.8220147778454323,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,3,0.7161710603695016,0.032296187317131346,0.0632394000833364,4.842987592549112,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,4,0.6613434500318017,0.03725177697495636,0.0690729092307163,5.5758926607902515,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395483,TRANSFORMER,1,0.9315918657594816,0.00573337154884147,0.01249549071872952,3.506638166617807,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,2,0.8604765690022644,0.007376475985179294,0.017806852691818142,4.086865682918245,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,3,0.6512616077237083,0.01113296727436141,0.0305000817410334,6.304723676770646,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,4,0.4839133108316469,0.013518277333566505,0.04054636507390613,7.24375290110803,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395509,TRANSFORMER,1,0.962783465594436,0.007270678619888575,0.014830862542505574,6.624592991609284,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,2,0.9139133743623005,0.010390492570512848,0.022640504310118416,8.294360505403374,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,3,0.8726541124975975,0.013245822968351178,0.027594978450725633,10.238375476403306,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,4,0.8348544906194644,0.01535819863261855,0.03145931001517228,11.570259518171016,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395541,TRANSFORMER,1,0.9458599822246669,0.010075106384466749,0.017705546441406764,16.683302091272335,0.024450690220637537,0.22065020233041127,3.3488779925298046e-05,0.00030221257558114687,8,2,16,2,64
395541,TRANSFORMER,2,0.866741961980934,0.015827239001218008,0.027841454573401436,22.82251064032038,0.024450690220637537,0.22065020233041127,3.3488779925298046e-05,0.00030221257558114687,8,2,16,2,64
395541,TRANSFORMER,3,0.7752874099926573,0.021740179678022404,0.03621523072232266,29.312585239064315,0.024450690220637537,0.22065020233041127,3.3488779925298046e-05,0.00030221257558114687,8,2,16,2,64
395541,TRANSFORMER,4,0.700315092529825,0.026406908950928877,0.04191533466574984,35.29079022049199,0.024450690220637537,0.22065020233041127,3.3488779925298046e-05,0.00030221257558114687,8,2,16,2,64
395582,TRANSFORMER,1,0.5449581815366749,0.001515485072795743,0.0021753130817711783,47.91694701095834,0.0298465253895269,0.269343802020782,2.6988146015607296e-05,0.00024354894790823463,8,4,16,2,64
395582,TRANSFORMER,2,0.31799217477881525,0.002088502678647023,0.0026622561107450603,57.980356029947224,0.0298465253895269,0.269343802020782,2.6988146015607296e-05,0.00024354894790823463,8,4,16,2,64
395582,TRANSFORMER,3,0.3587101102414212,0.0020088234837781853,0.0025811425232059597,56.9415358062602,0.0298465253895269,0.269343802020782,2.6988146015607296e-05,0.00024354894790823463,8,4,16,2,64
395582,TRANSFORMER,4,0.10955890731936768,0.0025012431602892612,0.003040394756641618,63.44350444365197,0.0298465253895269,0.269343802020782,2.6988146015607296e-05,0.00024354894790823463,8,4,16,2,64
395731,TRANSFORMER,1,0.9813308624102676,0.0010484138464548756,0.0020222512835889163,3.5507920222288942,0.0286230607652911,0.2583028982898161,3.879139417083796e-05,0.00035006492230839586,16,2,32,2,64
395731,TRANSFORMER,2,0.9596017217567858,0.0013581095135781717,0.002979921790638711,4.457565901780338,0.0286230607652911,0.2583028982898161,3.879139417083796e-05,0.00035006492230839586,16,2,32,2,64
395731,TRANSFORMER,3,0.9374897926437356,0.0017188207902371674,0.003713320536331716,5.606479372672961,0.0286230607652911,0.2583028982898161,3.879139417083796e-05,0.00035006492230839586,16,2,32,2,64
395731,TRANSFORMER,4,0.91921026708983,0.0020816761808981434,0.004229539742785161,6.669653604955735,0.0286230607652911,0.2583028982898161,3.879139417083796e-05,0.00035006492230839586,16,2,32,2,64
395749,TRANSFORMER,1,0.05211367778052056,0.0031376399117406285,0.007722386326116588,5.07593755540205,0.03308952549767114,0.2986095864858603,2.1085206959941083e-05,0.0001902790939604112,8,2,32,1,64
395749,TRANSFORMER,2,0.005169113349894228,0.003163713448725849,0.007695931538273139,5.162047181933772,0.03308952549767114,0.2986095864858603,2.1085206959941083e-05,0.0001902790939604112,8,2,32,1,64
395749,TRANSFORMER,3,-0.02751469318489863,0.0031853660473809627,0.007791290354848176,5.20573731310131,0.03308952549767114,0.2986095864858603,2.1085206959941083e-05,0.0001902790939604112,8,2,32,1,64
395749,TRANSFORMER,4,-0.03939202103163031,0.0031915644448412034,0.007840757716937298,5.217314273898004,0.03308952549767114,0.2986095864858603,2.1085206959941083e-05,0.0001902790939604112,8,2,32,1,64
395756,TRANSFORMER,1,0.9891314826773302,0.01229355167202821,0.021181140395178842,4.661391000188464,0.030469154904803245,0.2749625934447826,4.2196497101430664e-05,0.0003807935702038648,8,4,16,2,64
395756,TRANSFORMER,2,0.967713275529337,0.019161578112799223,0.036505279895334246,6.555586371398761,0.030469154904803245,0.2749625934447826,4.2196497101430664e-05,0.0003807935702038648,8,4,16,2,64
395756,TRANSFORMER,3,0.9462210407603886,0.023772050246961756,0.04711192544639755,7.889106096796458,0.030469154904803245,0.2749625934447826,4.2196497101430664e-05,0.0003807935702038648,8,4,16,2,64
395756,TRANSFORMER,4,0.923446775672835,0.02845628580831492,0.05620610596859187,9.219370255067973,0.030469154904803245,0.2749625934447826,4.2196497101430664e-05,0.0003807935702038648,8,4,16,2,64
395764,TRANSFORMER,1,0.3922038676772951,0.39935900676243813,0.8580404478331649,44.93680872194466,0.027475987142477776,0.2479513693686404,3.2851163223447095e-05,0.00029645853538828914,8,2,16,1,64
395764,TRANSFORMER,2,0.30960123040641063,0.44412123914183416,0.918098611458482,50.87449303318537,0.027475987142477776,0.2479513693686404,3.2851163223447095e-05,0.00029645853538828914,8,2,16,1,64
395764,TRANSFORMER,3,0.28608297369708424,0.46120122097292215,0.932371765854217,54.41293634133907,0.027475987142477776,0.2479513693686404,3.2851163223447095e-05,0.00029645853538828914,8,2,16,1,64
395764,TRANSFORMER,4,0.2544667723382519,0.4814282487462508,0.9546625454282824,59.51118380085648,0.027475987142477776,0.2479513693686404,3.2851163223447095e-05,0.00029645853538828914,8,2,16,1,64
395772,TRANSFORMER,1,0.8516641463525365,0.04512576411339753,0.08452481927567358,16.634011009321316,0.02789177211002021,0.2517035349061493,3.629442129726363e-05,0.00032753150649084605,16,2,32,1,64
395772,TRANSFORMER,2,0.7759691866833707,0.057899624737209554,0.1039011255898139,20.152768710589992,0.02789177211002021,0.2517035349061493,3.629442129726363e-05,0.00032753150649084605,16,2,32,1,64
395772,TRANSFORMER,3,0.7369637448295352,0.06440553368393603,0.11260699729024047,22.280152140508335,0.02789177211002021,0.2517035349061493,3.629442129726363e-05,0.00032753150649084605,16,2,32,1,64
395772,TRANSFORMER,4,0.7055647304651654,0.06927412673878798,0.11916928530993952,23.721214053961685,0.02789177211002021,0.2517035349061493,3.629442129726363e-05,0.00032753150649084605,16,2,32,1,64
396192,TRANSFORMER,1,0.9822337948724587,0.0022596593090858613,0.004165986606280704,1.364082440314943,0.03704578456720497,0.33431202908714724,3.826246186260637e-05,0.00034529168197132415,8,4,32,1,64
396192,TRANSFORMER,2,0.9653175029581315,0.003274100393625023,0.005833156916983633,2.0129204163289804,0.03704578456720497,0.33431202908714724,3.826246186260637e-05,0.00034529168197132415,8,4,32,1,64
396192,TRANSFORMER,3,0.9389789697153027,0.004515616409394153,0.007758243613036004,2.8089579980822195,0.03704578456720497,0.33431202908714724,3.826246186260637e-05,0.00034529168197132415,8,4,32,1,64
396192,TRANSFORMER,4,0.901245017225204,0.0057773150250257236,0.009899435805508372,3.6048582954743345,0.03704578456720497,0.33431202908714724,3.826246186260637e-05,0.00034529168197132415,8,4,32,1,64
396226,TRANSFORMER,1,0.9888036525611851,0.0012132122804169962,0.0015517681206482614,1.5846385647524208,0.020781176897597387,0.18753543747606205,2.0946264821314375e-05,0.00018902523933612224,8,4,16,2,64
396226,TRANSFORMER,2,0.9864362008182823,0.0013373075980469228,0.0017080123016787294,1.7276635361071457,0.020781176897597387,0.18753543747606205,2.0946264821314375e-05,0.00018902523933612224,8,4,16,2,64
396226,TRANSFORMER,3,0.9859289770113183,0.0013645258344921315,0.0017397120472719856,1.770468698255611,0.020781176897597387,0.18753543747606205,2.0946264821314375e-05,0.00018902523933612224,8,4,16,2,64
396226,TRANSFORMER,4,0.9840016168412435,0.0014512215614863604,0.0018551018001180997,1.8753533544487475,0.020781176897597387,0.18753543747606205,2.0946264821314375e-05,0.00018902523933612224,8,4,16,2,64
396291,TRANSFORMER,1,0.9792389346338188,0.018871054663282216,0.025208252458009943,5.286247998691856,0.011938195474558521,0.10773377860302605,1.7285456457111242e-05,0.0001559890305843342,8,4,16,1,64
396291,TRANSFORMER,2,0.9675252988119863,0.022059431941539184,0.03152684106131055,5.919312428513091,0.011938195474558521,0.10773377860302605,1.7285456457111242e-05,0.0001559890305843342,8,4,16,1,64
396291,TRANSFORMER,3,0.9529286505797878,0.025901066077746605,0.037955761908268104,6.750044317283679,0.011938195474558521,0.10773377860302605,1.7285456457111242e-05,0.0001559890305843342,8,4,16,1,64
396291,TRANSFORMER,4,0.9384693914971366,0.029927199952355463,0.04339457456179082,7.710740964231433,0.011938195474558521,0.10773377860302605,1.7285456457111242e-05,0.0001559890305843342,8,4,16,1,64
396333,TRANSFORMER,1,0.8881413317752203,0.0024577098380451226,0.004380974959705037,1.5441979378275936,0.015293844372738362,0.13801613880029565,1.3629522641848973e-05,0.00012299681119237063,16,2,32,1,64
396333,TRANSFORMER,2,0.8428008142272091,0.0030140132829994996,0.005186922462201676,1.9059300349997577,0.015293844372738362,0.13801613880029565,1.3629522641848973e-05,0.00012299681119237063,16,2,32,1,64
396333,TRANSFORMER,3,0.8114825519011297,0.003354589480303384,0.005673995914346256,2.1284382407636,0.015293844372738362,0.13801613880029565,1.3629522641848973e-05,0.00012299681119237063,16,2,32,1,64
396333,TRANSFORMER,4,0.7882867182472642,0.0036502055778848473,0.006010255283186204,2.3166970801069304,0.015293844372738362,0.13801613880029565,1.3629522641848973e-05,0.00012299681119237063,16,2,32,1,64
396440,TRANSFORMER,1,0.9910279784691179,0.00026864449861056203,0.00035654533402536487,1.4292473258118625,0.019707977761590494,0.17785057359844145,1.3709889484159905e-05,0.00012372206515684137,16,2,16,1,64
396440,TRANSFORMER,2,0.9907470957868797,0.0002761366070378904,0.0003620983237474916,1.4907347769479307,0.019707977761590494,0.17785057359844145,1.3709889484159905e-05,0.00012372206515684137,16,2,16,1,64
396440,TRANSFORMER,3,0.9880504457763004,0.00031728335389844773,0.0004115118815307667,1.7262990025342733,0.019707977761590494,0.17785057359844145,1.3709889484159905e-05,0.00012372206515684137,16,2,16,1,64
396440,TRANSFORMER,4,0.9837705640129029,0.0003643342630876399,0.00047959858343929023,1.9910769381156068,0.019707977761590494,0.17785057359844145,1.3709889484159905e-05,0.00012372206515684137,16,2,16,1,64
396705,TRANSFORMER,1,0.9338434736140733,0.019233381107745053,0.029674966591584657,21.944343617315123,0.016351038751340717,0.14755657105133663,1.6655976079935128e-05,0.0001503084149725222,16,2,32,1,64
396705,TRANSFORMER,2,0.9125426106580052,0.020620331144995892,0.03412077982884604,23.163906384564907,0.016351038751340717,0.14755657105133663,1.6655976079935128e-05,0.0001503084149725222,16,2,32,1,64
396705,TRANSFORMER,3,0.8698114263476404,0.024945003344733763,0.041631598838732665,26.611530516509227,0.016351038751340717,0.14755657105133663,1.6655976079935128e-05,0.0001503084149725222,16,2,32,1,64
396705,TRANSFORMER,4,0.8414800572752015,0.026790270121383603,0.04594038334610349,27.63971197146169,0.016351038751340717,0.14755657105133663,1.6655976079935128e-05,0.0001503084149725222,16,2,32,1,64
